Macd,Date
-0.060563,2021-02-04T00:00:00Z
-0.054454,2021-02-05T00:00:00Z
-0.049746,2021-02-06T00:00:00Z
-0.045711,2021-02-07T00:00:00Z
-0.039181,2021-02-08T00:00:00Z
-0.026069,2021-02-09T00:00:00Z
-0.036917,2021-02-10T00:00:00Z
-0.022157,2021-02-11T00:00:00Z
-0.020463,2021-02-12T00:00:00Z
-0.017226,2021-02-13T00:00:00Z
-0.022236,2021-02-14T00:00:00Z
-0.016374,2021-02-15T00:00:00Z
-0.014235,2021-02-16T00:00:00Z
0.007274,2021-02-18T00:00:00Z
0.010807,2021-02-19T00:00:00Z
0.011149,2021-02-20T00:00:00Z
0.003156,2021-02-21T00:00:00Z
-0.003695,2021-02-22T00:00:00Z
0.005504,2021-02-23T00:00:00Z
0.002104,2021-02-24T00:00:00Z
0.00816,2021-02-25T00:00:00Z
0.014966,2021-02-26T00:00:00Z
0.006199,2021-02-27T00:00:00Z
0.005314,2021-02-28T00:00:00Z
0.00324,2021-03-01T00:00:00Z
0.002777,2021-03-02T00:00:00Z
0.002552,2021-03-03T00:00:00Z
0.008873,2021-03-04T00:00:00Z
0.023063,2021-03-05T00:00:00Z
0.016568,2021-03-06T00:00:00Z
0.011001,2021-03-07T00:00:00Z
0.006572,2021-03-08T00:00:00Z
0.005034,2021-03-09T00:00:00Z
