Macd,Date
-0.036829,2021-02-04T00:00:00Z
-0.021668,2021-02-05T00:00:00Z
-0.037101,2021-02-06T00:00:00Z
-0.042044,2021-02-07T00:00:00Z
-0.043009,2021-02-08T00:00:00Z
-0.055993,2021-02-09T00:00:00Z
-0.058294,2021-02-10T00:00:00Z
-0.056295,2021-02-11T00:00:00Z
-0.053367,2021-02-12T00:00:00Z
-0.046086,2021-02-13T00:00:00Z
-0.04836,2021-02-14T00:00:00Z
-0.035237,2021-02-15T00:00:00Z
-0.014103,2021-02-16T00:00:00Z
-0.021853,2021-02-18T00:00:00Z
-0.023074,2021-02-19T00:00:00Z
-0.029364,2021-02-20T00:00:00Z
-0.024697,2021-02-21T00:00:00Z
-0.020598,2021-02-22T00:00:00Z
-0.022669,2021-02-23T00:00:00Z
-0.007902,2021-02-24T00:00:00Z
-0.009645,2021-02-25T00:00:00Z
-0.012196,2021-02-26T00:00:00Z
-0.027468,2021-02-27T00:00:00Z
-0.046044,2021-02-28T00:00:00Z
-0.049609,2021-03-01T00:00:00Z
-0.045422,2021-03-02T00:00:00Z
-0.053705,2021-03-03T00:00:00Z
-0.057532,2021-03-04T00:00:00Z
-0.056728,2021-03-05T00:00:00Z
-0.059352,2021-03-06T00:00:00Z
-0.075531,2021-03-07T00:00:00Z
-0.091383,2021-03-08T00:00:00Z
-0.098114,2021-03-09T00:00:00Z
-0.098412,2021-03-10T00:00:00Z
-0.086539,2021-03-11T00:00:00Z
