Macd,Date
-0.011004,2021-02-04T00:00:00Z
-0.009432,2021-02-05T00:00:00Z
-0.010684,2021-02-06T00:00:00Z
-0.011758,2021-02-07T00:00:00Z
-0.012678,2021-02-08T00:00:00Z
-0.01261,2021-02-09T00:00:00Z
-0.007251,2021-02-10T00:00:00Z
-0.006215,2021-02-11T00:00:00Z
-0.027185,2021-02-12T00:00:00Z
-0.024501,2021-02-13T00:00:00Z
-0.021001,2021-02-14T00:00:00Z
-0.018001,2021-02-15T00:00:00Z
-0.017544,2021-02-16T00:00:00Z
-0.02984,2021-02-18T00:00:00Z
-0.023834,2021-02-19T00:00:00Z
-0.00513,2021-02-20T00:00:00Z
-0.006768,2021-02-21T00:00:00Z
-0.007844,2021-02-22T00:00:00Z
-0.007966,2021-02-23T00:00:00Z
-0.016485,2021-02-24T00:00:00Z
-0.023259,2021-02-25T00:00:00Z
-0.025079,2021-02-26T00:00:00Z
-0.021496,2021-02-27T00:00:00Z
-0.018425,2021-02-28T00:00:00Z
-0.017565,2021-03-01T00:00:00Z
-0.020955,2021-03-02T00:00:00Z
-0.021762,2021-03-03T00:00:00Z
-0.016524,2021-03-04T00:00:00Z
-0.013292,2021-03-05T00:00:00Z
-0.013893,2021-03-06T00:00:00Z
-0.011594,2021-03-07T00:00:00Z
-0.012509,2021-03-08T00:00:00Z
-0.015165,2021-03-09T00:00:00Z
