Macd,Date
-0.015475,2021-02-04T00:00:00Z
-0.013265,2021-02-05T00:00:00Z
-0.012541,2021-02-06T00:00:00Z
-0.011721,2021-02-07T00:00:00Z
-0.007761,2021-02-08T00:00:00Z
-0.003181,2021-02-09T00:00:00Z
-0.000312,2021-02-10T00:00:00Z
0.001004,2021-02-11T00:00:00Z
0.000861,2021-02-12T00:00:00Z
0.000738,2021-02-13T00:00:00Z
-0.000768,2021-02-14T00:00:00Z
-0.002058,2021-02-15T00:00:00Z
-0.002821,2021-02-16T00:00:00Z
0.00156,2021-02-18T00:00:00Z
0.004666,2021-02-19T00:00:00Z
0.007571,2021-02-20T00:00:00Z
0.006489,2021-02-21T00:00:00Z
0.005562,2021-02-22T00:00:00Z
0.007025,2021-02-23T00:00:00Z
0.006021,2021-02-24T00:00:00Z
9e-05,2021-02-25T00:00:00Z
-0.004938,2021-02-26T00:00:00Z
-0.019404,2021-02-27T00:00:00Z
-0.031803,2021-02-28T00:00:00Z
-0.042431,2021-03-01T00:00:00Z
-0.034241,2021-03-02T00:00:00Z
-0.033807,2021-03-03T00:00:00Z
-0.028977,2021-03-04T00:00:00Z
-0.03358,2021-03-05T00:00:00Z
-0.029197,2021-03-06T00:00:00Z
-0.011412,2021-03-07T00:00:00Z
-0.012168,2021-03-08T00:00:00Z
-0.005244,2021-03-09T00:00:00Z
0.000563,2021-03-10T00:00:00Z
