Macd,Date
-0.02393,2021-02-04T00:00:00Z
-0.041312,2021-02-05T00:00:00Z
-0.039681,2021-02-06T00:00:00Z
-0.043284,2021-02-07T00:00:00Z
-0.041572,2021-02-08T00:00:00Z
-0.031433,2021-02-09T00:00:00Z
-0.036228,2021-02-10T00:00:00Z
-0.04531,2021-02-11T00:00:00Z
-0.032523,2021-02-12T00:00:00Z
-0.01972,2021-02-13T00:00:00Z
-0.020031,2021-02-14T00:00:00Z
-0.01717,2021-02-15T00:00:00Z
-0.032231,2021-02-16T00:00:00Z
-0.035823,2021-02-18T00:00:00Z
-0.03222,2021-02-19T00:00:00Z
-0.034202,2021-02-20T00:00:00Z
-0.021631,2021-02-21T00:00:00Z
-0.025026,2021-02-22T00:00:00Z
-0.03498,2021-02-23T00:00:00Z
-0.025997,2021-02-24T00:00:00Z
-0.03584,2021-02-25T00:00:00Z
-0.042192,2021-02-26T00:00:00Z
-0.039293,2021-02-27T00:00:00Z
-0.032937,2021-02-28T00:00:00Z
-0.028117,2021-03-01T00:00:00Z
-0.025886,2021-03-02T00:00:00Z
-0.023488,2021-03-03T00:00:00Z
-0.025833,2021-03-04T00:00:00Z
-0.034214,2021-03-05T00:00:00Z
-0.027755,2021-03-06T00:00:00Z
-0.032875,2021-03-07T00:00:00Z
-0.032236,2021-03-08T00:00:00Z
-0.034988,2021-03-09T00:00:00Z
