Macd,Date
-0.099436,2021-02-04T00:00:00Z
-0.096417,2021-02-05T00:00:00Z
-0.103572,2021-02-06T00:00:00Z
-0.093433,2021-02-07T00:00:00Z
-0.093442,2021-02-08T00:00:00Z
-0.093522,2021-02-09T00:00:00Z
-0.096747,2021-02-10T00:00:00Z
-0.097741,2021-02-11T00:00:00Z
-0.090778,2021-02-12T00:00:00Z
-0.099752,2021-02-13T00:00:00Z
-0.077502,2021-02-14T00:00:00Z
-0.075916,2021-02-15T00:00:00Z
-0.059885,2021-02-16T00:00:00Z
-0.05293,2021-02-18T00:00:00Z
-0.052583,2021-02-19T00:00:00Z
-0.056857,2021-02-20T00:00:00Z
-0.043577,2021-02-21T00:00:00Z
-0.058852,2021-02-22T00:00:00Z
-0.058587,2021-02-23T00:00:00Z
-0.045046,2021-02-24T00:00:00Z
-0.044111,2021-02-25T00:00:00Z
-0.059952,2021-02-26T00:00:00Z
-0.084145,2021-02-27T00:00:00Z
-0.070738,2021-02-28T00:00:00Z
-0.061519,2021-03-01T00:00:00Z
-0.060816,2021-03-02T00:00:00Z
-0.068757,2021-03-03T00:00:00Z
-0.058491,2021-03-04T00:00:00Z
-0.074764,2021-03-05T00:00:00Z
-0.080698,2021-03-06T00:00:00Z
-0.075412,2021-03-07T00:00:00Z
-0.085968,2021-03-08T00:00:00Z
-0.100444,2021-03-09T00:00:00Z
-0.099395,2021-03-10T00:00:00Z
