Macd,Date
-0.035771,2021-02-04T00:00:00Z
-0.037947,2021-02-05T00:00:00Z
-0.04584,2021-02-06T00:00:00Z
-0.039291,2021-02-07T00:00:00Z
-0.035193,2021-02-08T00:00:00Z
-0.035379,2021-02-09T00:00:00Z
-0.031711,2021-02-10T00:00:00Z
-0.043852,2021-02-11T00:00:00Z
-0.042073,2021-02-12T00:00:00Z
-0.042477,2021-02-13T00:00:00Z
-0.043423,2021-02-14T00:00:00Z
-0.034706,2021-02-15T00:00:00Z
-0.039376,2021-02-16T00:00:00Z
-0.069746,2021-02-18T00:00:00Z
-0.059325,2021-02-19T00:00:00Z
-0.051536,2021-02-20T00:00:00Z
-0.044259,2021-02-21T00:00:00Z
-0.037265,2021-02-22T00:00:00Z
-0.03197,2021-02-23T00:00:00Z
-0.029117,2021-02-24T00:00:00Z
-0.016115,2021-02-25T00:00:00Z
-0.020698,2021-02-26T00:00:00Z
-0.03647,2021-02-27T00:00:00Z
-0.032589,2021-02-28T00:00:00Z
-0.03719,2021-03-01T00:00:00Z
-0.041677,2021-03-02T00:00:00Z
-0.055638,2021-03-03T00:00:00Z
-0.055404,2021-03-04T00:00:00Z
-0.071317,2021-03-05T00:00:00Z
-0.087886,2021-03-06T00:00:00Z
-0.08416,2021-03-07T00:00:00Z
-0.07708,2021-03-08T00:00:00Z
-0.089126,2021-03-09T00:00:00Z
