Macd,Date
-0.032239,2021-02-04T00:00:00Z
-0.032162,2021-02-05T00:00:00Z
-0.033953,2021-02-06T00:00:00Z
-0.031102,2021-02-07T00:00:00Z
-0.028431,2021-02-08T00:00:00Z
-0.044741,2021-02-09T00:00:00Z
-0.071335,2021-02-10T00:00:00Z
-0.084358,2021-02-11T00:00:00Z
-0.09915,2021-02-12T00:00:00Z
-0.1168,2021-02-13T00:00:00Z
-0.117143,2021-02-14T00:00:00Z
-0.117922,2021-02-15T00:00:00Z
-0.113276,2021-02-16T00:00:00Z
-0.096981,2021-02-18T00:00:00Z
-0.084112,2021-02-19T00:00:00Z
-0.089939,2021-02-20T00:00:00Z
-0.075305,2021-02-21T00:00:00Z
-0.066147,2021-02-22T00:00:00Z
-0.05724,2021-02-23T00:00:00Z
-0.07722,2021-02-24T00:00:00Z
-0.091203,2021-02-25T00:00:00Z
-0.080731,2021-02-26T00:00:00Z
-0.088941,2021-02-27T00:00:00Z
-0.052978,2021-02-28T00:00:00Z
-0.060953,2021-03-01T00:00:00Z
-0.058374,2021-03-02T00:00:00Z
-0.06122,2021-03-03T00:00:00Z
-0.062717,2021-03-04T00:00:00Z
-0.051758,2021-03-05T00:00:00Z
