Macd,Date
-0.053708,2021-02-04T00:00:00Z
-0.055993,2021-02-05T00:00:00Z
-0.051865,2021-02-06T00:00:00Z
-0.045242,2021-02-07T00:00:00Z
-0.044307,2021-02-08T00:00:00Z
-0.046692,2021-02-09T00:00:00Z
-0.044979,2021-02-10T00:00:00Z
-0.051467,2021-02-11T00:00:00Z
-0.066086,2021-02-12T00:00:00Z
-0.060446,2021-02-13T00:00:00Z
-0.05181,2021-02-14T00:00:00Z
-0.041009,2021-02-15T00:00:00Z
-0.065936,2021-02-16T00:00:00Z
-0.065855,2021-02-18T00:00:00Z
-0.044219,2021-02-19T00:00:00Z
-0.044016,2021-02-20T00:00:00Z
-0.037728,2021-02-21T00:00:00Z
-0.054053,2021-02-22T00:00:00Z
-0.058574,2021-02-23T00:00:00Z
-0.05732,2021-02-24T00:00:00Z
-0.059832,2021-02-25T00:00:00Z
-0.066613,2021-02-26T00:00:00Z
-0.072554,2021-02-27T00:00:00Z
-0.059989,2021-02-28T00:00:00Z
-0.061962,2021-03-01T00:00:00Z
-0.06561,2021-03-02T00:00:00Z
-0.065295,2021-03-03T00:00:00Z
-0.070452,2021-03-04T00:00:00Z
-0.072816,2021-03-05T00:00:00Z
-0.050843,2021-03-06T00:00:00Z
-0.047065,2021-03-07T00:00:00Z
-0.041742,2021-03-08T00:00:00Z
-0.039464,2021-03-09T00:00:00Z
