Macd,Date
-0.036431,2021-02-04T00:00:00Z
-0.045541,2021-02-05T00:00:00Z
-0.071735,2021-02-06T00:00:00Z
-0.074344,2021-02-07T00:00:00Z
-0.060681,2021-02-08T00:00:00Z
-0.068398,2021-02-09T00:00:00Z
-0.09307,2021-02-10T00:00:00Z
-0.09886,2021-02-11T00:00:00Z
-0.089065,2021-02-12T00:00:00Z
-0.08747,2021-02-13T00:00:00Z
-0.088517,2021-02-14T00:00:00Z
-0.086244,2021-02-15T00:00:00Z
-0.053752,2021-02-16T00:00:00Z
-0.066117,2021-02-18T00:00:00Z
-0.077586,2021-02-19T00:00:00Z
-0.085831,2021-02-20T00:00:00Z
-0.091212,2021-02-21T00:00:00Z
-0.081854,2021-02-22T00:00:00Z
-0.084689,2021-02-23T00:00:00Z
-0.087662,2021-02-24T00:00:00Z
-0.102896,2021-02-25T00:00:00Z
-0.078668,2021-02-26T00:00:00Z
-0.078472,2021-02-27T00:00:00Z
-0.067734,2021-02-28T00:00:00Z
-0.061214,2021-03-01T00:00:00Z
-0.033984,2021-03-02T00:00:00Z
-0.0223,2021-03-03T00:00:00Z
-0.013743,2021-03-04T00:00:00Z
-0.013066,2021-03-05T00:00:00Z
0.022872,2021-03-06T00:00:00Z
0.029605,2021-03-07T00:00:00Z
0.024304,2021-03-08T00:00:00Z
0.012018,2021-03-09T00:00:00Z
